T Wed Jan 22 08:45:03 CET 2014
2157 -0.16840208 -1.1256013 -2.8803964 -1.019122 3.2899597 9.181935
2177 -0.66276956 -0.57944727 -1.0111303 -1.0419021 3.2609532 9.189723
2197 -1.0594714 -0.6645222 0.47067738 -1.0857334 3.2119527 9.201898
2217 -0.51831627 -0.9432652 0.06604004 -1.0905873 3.2033916 9.2043085
2240 0.264844 -0.43611836 -1.1520929 -1.0692958 3.2325459 9.19661
2259 0.23836845 0.15982223 -1.2933922 -1.0619738 3.2686746 9.184681
2280 -0.27217507 0.9093938 0.50689507 -1.0685779 3.2660942 9.184834
2299 0.68871033 -0.005654335 2.3220682 -1.052629 3.2043078 9.208407
2316 1.4123822 -1.8104922 1.3441296 -1.02931 3.208706 9.209512
2335 1.4502766 -1.6958464 -2.0252128 -0.97143626 3.2855964 9.188664
2355 0.2338866 -0.33379793 -2.7852092 -0.9042631 3.3217616 9.182516
2376 -0.84881365 0.05570197 2.3039608 -0.95162606 3.2387195 9.207361
2395 -1.3241307 -0.90368676 5.313347 -1.1466855 3.125506 9.224246
2414 -0.25407934 -1.6781886 -0.19144535 -1.1632881 3.1530168 9.212797
2441 0.18216544 -1.1053977 -4.662766 -1.0823853 3.2122953 9.202172
2458 -0.15824741 -0.104285 -3.921165 -0.99096936 3.226324 9.207562
2476 -1.1934111 0.27272773 1.2682943 -1.028408 3.155769 9.227886
2494 -1.1965119 -0.26320004 4.585252 -1.2168435 3.040474 9.243657
2513 0.3093776 -1.4726084 1.7427359 -1.2479047 3.0623584 9.232285
2536 1.4351053 -1.5223796 -2.6667666 -1.1286474 3.2078977 9.198149
2565 0.9641867 0.053454876 -2.522129 -1.002494 3.279274 9.187587
2583 0.10617095 0.5070996 3.093382 -1.0255444 3.227855 9.2032385
2601 -0.71602595 -0.5932989 6.5951986 -1.1418746 3.1790369 9.2065325
2641 -0.42578018 -1.0231383 2.0859766 -1.1448162 3.264111 9.176348
2643 -0.7123289 -0.050801277 -3.019559 -1.0114963 3.3835301 9.148715
2659 -0.5514725 0.18114948 -2.6516795 -0.94250935 3.362269 9.163908
2678 -0.32862747 -0.853215 0.1840229 -1.0312791 3.285724 9.182095
2698 -0.42691982 -1.0231032 0.47012806 -1.1436765 3.2449224 9.183293
2718 -0.90706897 -0.3654871 0.029577255 -1.1615212 3.2385292 9.1833105
2737 -0.63080513 0.27931833 1.572773 -1.1313273 3.225793 9.191558
2758 0.57115215 0.14126873 1.9859333 -1.1074533 3.2106137 9.199777
2778 1.1869832 -0.8646667 -0.13858128 -1.0912151 3.2205613 9.19824
2807 1.2132919 -1.2480102 -1.912106 -1.0409094 3.2591395 9.190479
2872 0.58903545 -0.8591957 -2.37043 -1.010415 3.272551 9.1891165
2899 -0.43137848 -0.31426024 0.31506348 -1.081757 3.206456 9.204283
2899 -0.92530584 -1.0528302 1.155695 -1.1432843 3.1788814 9.20641
2899 -0.6817925 -0.5985434 -1.7051711 -1.1186472 3.2225885 9.194234
2921 -0.27066243 -0.5199728 -2.3075457 -1.1083977 3.2014787 9.202847
2935 0.3292241 -0.6037593 0.013191223 -1.1719831 3.1320362 9.21885
2955 0.42910254 -0.82067347 0.54809666 -1.195247 3.119107 9.220246
2974 -0.27096868 -0.15051317 0.14864254 -1.1655524 3.1384768 9.217475
2994 -0.08850479 -0.1768763 1.2136631 -1.1373265 3.1265328 9.225057
3014 0.26905036 -1.0590105 1.8347788 -1.1501166 3.0892935 9.23601
3034 0.8041576 -1.3947396 -0.3581934 -1.1489227 3.1185648 9.226316
3055 0.74857306 -1.34456 -3.5008764 -1.1124917 3.183307 9.208653
3074 0.16508824 -0.2993312 -3.669335 -1.0653081 3.2106805 9.204729
3096 -1.0162725 0.26215625 0.6235695 -1.1097786 3.147187 9.221388
3115 -1.7414149 -0.19283867 4.572118 -1.2465488 3.0467272 9.2376375
3134 -0.24593437 -1.262211 2.4887667 -1.2863547 3.043497 9.233245
3153 1.0171897 -0.99915075 -0.86544895 -1.2087259 3.125202 9.216425
3177 0.90377307 0.21194816 -1.4314604 -1.1336164 3.1782415 9.207828
3195 0.52615094 0.18247819 0.9449291 -1.119913 3.131097 9.225639
3215 0.26154476 -1.0088577 3.1155748 -1.1617646 3.077448 9.238506
3234 -0.51029265 -1.4022589 0.6754894 -1.1752254 3.1069305 9.226929
3253 -0.7794697 -0.42530823 -1.9890618 -1.1550453 3.164275 9.209974
3274 -0.43083942 0.11421013 -1.1086149 -1.1589105 3.1610577 9.210593
3294 -0.5318099 -0.050800323 0.7787571 -1.2111689 3.1153784 9.219429
3314 -0.7215065 -0.06882882 0.9087839 -1.2321621 3.0950997 9.223477
3341 -0.12798119 -0.63541794 0.15653801 -1.2127718 3.0870805 9.228733
3361 0.43763363 -0.5404868 0.038240433 -1.1846246 3.0879173 9.232108
3380 0.3890583 -0.95225334 -0.3237934 -1.1743565 3.0974581 9.230224
3398 -0.16325545 -0.3776424 0.09798622 -1.1774975 3.0974555 9.229824
3422 -0.5391959 -0.013507366 1.5097866 -1.1846293 3.0780854 9.235391
3442 -0.7007525 -0.5863104 1.0101271 -1.1763016 3.07628 9.237056
3463 0.106987596 -0.81736684 -1.5157375 -1.1412827 3.0966468 9.234644
3479 0.5783301 -0.81322384 -2.9121604 -1.1146313 3.1116574 9.232853
3502 0.23213577 -0.37835574 -2.1315699 -1.113202 3.0981688 9.23756
3520 -0.5019516 -0.24491715 0.61014366 -1.1835665 3.022191 9.253967
3544 -0.24365664 -0.5205939 3.1284637 -1.2311716 2.9722564 9.263925
3563 0.47883207 -0.7886243 1.2556067 -1.1683621 3.0104434 9.2597275
3585 1.0798291 -0.6402776 -1.9310555 -1.0989827 3.0727866 9.247736
3605 0.70723593 -0.64445233 -2.118074 -1.0711546 3.0961149 9.243218
3625 -0.18988574 -0.41421843 0.22983456 -1.11256 3.0574172 9.2512045
3643 -0.82730985 -0.79362345 1.7930689 -1.1646659 3.0154426 9.258566
3662 -0.547181 -1.109632 0.39948654 -1.1766442 3.0249934 9.253935
3682 0.2777599 -0.15993738 -1.7710166 -1.1588261 3.0712867 9.240926
3703 0.32840925 0.02576232 -1.8465409 -1.1520146 3.0771232 9.239836
3732 0.25593108 -0.12979484 0.87094307 -1.1753045 3.002837 9.261318
3750 0.5424093 -1.2123301 2.0622406 -1.1744785 2.955309 9.276699
3767 0.539876 -0.70360684 -0.25834465 -1.133638 3.021194 9.260543
3787 -0.1689223 0.163198 -1.0135345 -1.1335235 3.054609 9.249588
3806 -0.67023957 -0.4788506 1.2186775 -1.1876609 3.0071275 9.258349
3826 -0.062450767 -1.1609861 0.8288326 -1.2016877 2.9805794 9.265121
3846 0.15081322 -1.4834564 -1.5752735 -1.1851083 3.0157454 9.255873
3866 -0.27022493 -0.027834654 -1.8715377 -1.1662961 3.0541055 9.245679
3886 -0.9815706 0.54824996 1.5447607 -1.221095 2.9951684 9.257877
3905 -0.51484334 0.099432945 4.861741 -1.2664428 2.926838 9.273625
3926 0.6657869 -0.8431909 1.9108868 -1.2020881 2.9500885 9.274823
3947 1.236172 -1.3750572 -2.4390411 -1.1020967 3.0414217 9.257728
3966 0.93053174 -0.828665 -3.8047109 -1.0262998 3.107945 9.244337
3985 -0.10869157 -0.029759645 0.033844948 -1.0788325 3.0560305 9.255657
4005 -1.56886 -0.25576186 5.136606 -1.246721 2.9564214 9.2669115
4024 -1.3711721 -0.80421424 3.3844519 -1.2911803 2.9685726 9.256933
4051 -0.17707717 -0.23995852 -1.8409829 -1.201983 3.0746934 9.234278
